name	Plate.ID	Well	MFI	Runtime
NOPEP	3	A1	40921	12/10/2021 22:00
peptide_42192	3	A2	42120	12/10/2021 22:02
peptide_28330	3	A3	41331	12/10/2021 22:04
peptide_66776	3	A4	43741	12/10/2021 22:06
peptide_58589	3	A5	40864	12/10/2021 22:08
peptide_46266	3	A6	40420	12/10/2021 22:10
peptide_56506	3	A7	42965	12/10/2021 22:12
peptide_00000	3	A8	61245	12/10/2021 22:14
peptide_20259	3	A9	39720	12/10/2021 22:16
peptide_41769	3	A10	45325	12/10/2021 22:18
peptide_62400	3	A11	42885	12/10/2021 22:20
peptide_32611	3	A12	39908	12/10/2021 22:22
peptide_34424	3	B1	39617	12/10/2021 22:24
peptide_30521	3	B2	42608	12/10/2021 22:26
peptide_38955	3	B3	50589	12/10/2021 22:28
peptide_47769	3	B4	42580	12/10/2021 22:30
peptide_65167	3	B5	42406	12/10/2021 22:32
peptide_55214	3	B6	41825	12/10/2021 22:34
peptide_17160	3	B7	43436	12/10/2021 22:36
NOPEP	3	B8	40044	12/10/2021 22:38
peptide_85123	3	B9	40584	12/10/2021 22:40
peptide_00000	3	B10	72636	12/10/2021 22:42
NOPEP	3	B11	41097	12/10/2021 22:44
NOPEP	3	B12	43707	12/10/2021 22:46
