name	Plate.ID	Well	MFI	Runtime
NOPEP	3	A1	35227	12/04/2021 09:00
peptide_42192	3	A2	33840	12/04/2021 09:02
peptide_28330	3	A3	32289	12/04/2021 09:04
peptide_66776	3	A4	35040	12/04/2021 09:06
peptide_58589	3	A5	36334	12/04/2021 09:08
peptide_46266	3	A6	35794	12/04/2021 09:10
peptide_56506	3	A7	36037	12/04/2021 09:12
peptide_00000	3	A8	44257	12/04/2021 09:14
peptide_20259	3	A9	35021	12/04/2021 09:16
peptide_41769	3	A10	37191	12/04/2021 09:18
peptide_62400	3	A11	35007	12/04/2021 09:20
peptide_32611	3	A12	33144	12/04/2021 09:22
peptide_34424	3	B1	36838	12/04/2021 09:24
peptide_30521	3	B2	32425	12/04/2021 09:26
peptide_38955	3	B3	41997	12/04/2021 09:28
peptide_47769	3	B4	34977	12/04/2021 09:30
peptide_65167	3	B5	36380	12/04/2021 09:32
peptide_55214	3	B6	35347	12/04/2021 09:34
peptide_17160	3	B7	36348	12/04/2021 09:36
NOPEP	3	B8	38038	12/04/2021 09:38
peptide_85123	3	B9	35868	12/04/2021 09:40
peptide_00000	3	B10	52353	12/04/2021 09:42
NOPEP	3	B11	33540	12/04/2021 09:44
NOPEP	3	B12	33978	12/04/2021 09:46
