name	Plate.ID	Well	MFI	Runtime
NOPEP	1	A1	43567	12/12/2021 09:00
peptide_85123	1	A2	43279	12/12/2021 09:02
peptide_00000	1	A3	54425	12/12/2021 09:04
peptide_28390	1	A4	66745	12/12/2021 09:06
peptide_47194	1	A5	54400	12/12/2021 09:08
peptide_76318	1	A6	47653	12/12/2021 09:10
peptide_86930	1	A7	42802	12/12/2021 09:12
peptide_16171	1	A8	63090	12/12/2021 09:14
peptide_46322	1	A9	46759	12/12/2021 09:16
peptide_80976	1	A10	50316	12/12/2021 09:18
peptide_40598	1	A11	55765	12/12/2021 09:20
peptide_43621	1	A12	57198	12/12/2021 09:22
peptide_22881	1	B1	45859	12/12/2021 09:24
peptide_28065	1	B2	45774	12/12/2021 09:26
peptide_10925	1	B3	68649	12/12/2021 09:28
peptide_42908	1	B4	46090	12/12/2021 09:30
peptide_24163	1	B5	52256	12/12/2021 09:32
peptide_13346	1	B6	71219	12/12/2021 09:34
peptide_17071	1	B7	66352	12/12/2021 09:36
peptide_86623	1	B8	73927	12/12/2021 09:38
peptide_31799	1	B9	46569	12/12/2021 09:40
peptide_00000	1	B10	57920	12/12/2021 09:42
peptide_29122	1	B11	47531	12/12/2021 09:44
peptide_22977	1	B12	43927	12/12/2021 09:46
NOPEP	1	C1	42950	12/12/2021 09:48
peptide_49748	1	C2	44864	12/12/2021 09:50
peptide_68402	1	C3	46756	12/12/2021 09:52
peptide_24369	1	C4	46216	12/12/2021 09:54
peptide_19818	1	C5	45100	12/12/2021 09:56
peptide_73990	1	C6	45783	12/12/2021 09:58
peptide_18846	1	C7	46958	12/12/2021 10:00
peptide_42254	1	C8	46433	12/12/2021 10:02
peptide_14371	1	C9	44751	12/12/2021 10:04
peptide_20636	1	C10	44358	12/12/2021 10:06
peptide_61770	1	C11	44634	12/12/2021 10:08
peptide_13749	1	C12	44361	12/12/2021 10:10
peptide_14157	1	D1	42602	12/12/2021 10:12
peptide_71403	1	D2	44812	12/12/2021 10:14
peptide_47312	1	D3	44740	12/12/2021 10:16
peptide_57399	1	D4	42858	12/12/2021 10:18
peptide_32203	1	D5	44489	12/12/2021 10:20
peptide_73139	1	D6	45033	12/12/2021 10:22
peptide_00000	1	D7	67275	12/12/2021 10:24
peptide_14528	1	D8	46611	12/12/2021 10:26
peptide_25653	1	D9	65600	12/12/2021 10:28
peptide_68581	1	D10	44095	12/12/2021 10:30
peptide_27138	1	D11	61704	12/12/2021 10:32
peptide_86229	1	D12	45846	12/12/2021 10:34
NOPEP	1	E1	43848	12/12/2021 10:36
peptide_32457	1	E2	46435	12/12/2021 10:38
peptide_79633	1	E3	43547	12/12/2021 10:40
peptide_36084	1	E4	73180	12/12/2021 10:42
peptide_49450	1	E5	54639	12/12/2021 10:44
peptide_12354	1	E6	68507	12/12/2021 10:46
peptide_48799	1	E7	71298	12/12/2021 10:48
peptide_31092	1	E8	59293	12/12/2021 10:50
peptide_65560	1	E9	70761	12/12/2021 10:52
peptide_83241	1	E10	69873	12/12/2021 10:54
peptide_87235	1	E11	47411	12/12/2021 10:56
peptide_59898	1	E12	51244	12/12/2021 10:58
peptide_41755	1	F1	43029	12/12/2021 11:00
peptide_86029	1	F2	42338	12/12/2021 11:02
peptide_40878	1	F3	42475	12/12/2021 11:04
peptide_00000	1	F4	58292	12/12/2021 11:06
peptide_64172	1	F5	43766	12/12/2021 11:08
peptide_18509	1	F6	44779	12/12/2021 11:10
peptide_73914	1	F7	45901	12/12/2021 11:12
peptide_71242	1	F8	42502	12/12/2021 11:14
peptide_33213	1	F9	43813	12/12/2021 11:16
peptide_00000	1	F10	59871	12/12/2021 11:18
peptide_89414	1	F11	43376	12/12/2021 11:20
peptide_39866	1	F12	42503	12/12/2021 11:22
NOPEP	1	G1	41849	12/12/2021 11:24
peptide_88290	1	G2	41037	12/12/2021 11:26
peptide_76781	1	G3	42263	12/12/2021 11:28
peptide_18563	1	G4	43988	12/12/2021 11:30
peptide_75398	1	G5	42950	12/12/2021 11:32
peptide_70055	1	G6	42912	12/12/2021 11:34
peptide_23975	1	G7	44915	12/12/2021 11:36
peptide_80306	1	G8	43238	12/12/2021 11:38
peptide_21345	1	G9	45736	12/12/2021 11:40
peptide_34991	1	G10	43768	12/12/2021 11:42
peptide_81613	1	G11	41236	12/12/2021 11:44
peptide_27712	1	G12	42397	12/12/2021 11:46
peptide_26040	1	H1	43147	12/12/2021 11:48
peptide_35498	1	H2	42421	12/12/2021 11:50
peptide_00000	1	H3	55369	12/12/2021 11:52
peptide_62064	1	H4	41119	12/12/2021 11:54
peptide_44612	1	H5	43344	12/12/2021 11:56
peptide_88363	1	H6	43219	12/12/2021 11:58
peptide_41111	1	H7	42364	12/12/2021 12:00
peptide_33906	1	H8	42770	12/12/2021 12:02
peptide_32866	1	H9	41088	12/12/2021 12:04
peptide_55784	1	H10	42113	12/12/2021 12:06
peptide_51257	1	H11	41506	12/12/2021 12:08
peptide_83430	1	H12	37679	12/12/2021 12:10
