name	Plate.ID	Well	MFI	Runtime
NOPEP	2	A1	34129	12/04/2021 16:00
peptide_87457	2	A2	33948	12/04/2021 16:02
peptide_55045	2	A3	34844	12/04/2021 16:04
peptide_62045	2	A4	43615	12/04/2021 16:06
peptide_44445	2	A5	33662	12/04/2021 16:08
peptide_36356	2	A6	45586	12/04/2021 16:10
peptide_31314	2	A7	36347	12/04/2021 16:12
peptide_36376	2	A8	33431	12/04/2021 16:14
peptide_77831	2	A9	33526	12/04/2021 16:16
peptide_48805	2	A10	34826	12/04/2021 16:18
peptide_32616	2	A11	35186	12/04/2021 16:20
peptide_34123	2	A12	34753	12/04/2021 16:22
peptide_12167	2	B1	34229	12/04/2021 16:24
peptide_46270	2	B2	34817	12/04/2021 16:26
peptide_00000	2	B3	52471	12/04/2021 16:28
peptide_85123	2	B4	35022	12/04/2021 16:30
peptide_37117	2	B5	37730	12/04/2021 16:32
peptide_87892	2	B6	36838	12/04/2021 16:34
peptide_46400	2	B7	35637	12/04/2021 16:36
peptide_89449	2	B8	35742	12/04/2021 16:38
peptide_26686	2	B9	38399	12/04/2021 16:40
peptide_49132	2	B10	38450	12/04/2021 16:42
peptide_72788	2	B11	38422	12/04/2021 16:44
peptide_58391	2	B12	36509	12/04/2021 16:46
NOPEP	2	C1	35731	12/04/2021 16:48
peptide_34427	2	C2	37062	12/04/2021 16:50
peptide_66180	2	C3	36565	12/04/2021 16:52
peptide_55516	2	C4	35563	12/04/2021 16:54
peptide_53356	2	C5	35752	12/04/2021 16:56
peptide_68127	2	C6	36039	12/04/2021 16:58
peptide_54373	2	C7	37041	12/04/2021 17:00
peptide_21723	2	C8	35426	12/04/2021 17:02
peptide_85993	2	C9	37776	12/04/2021 17:04
peptide_71581	2	C10	36747	12/04/2021 17:06
peptide_69921	2	C11	33803	12/04/2021 17:08
peptide_57674	2	C12	36090	12/04/2021 17:10
peptide_00000	2	D1	49677	12/04/2021 17:12
peptide_22817	2	D2	34306	12/04/2021 17:14
peptide_27679	2	D3	34986	12/04/2021 17:16
peptide_47967	2	D4	37080	12/04/2021 17:18
peptide_45724	2	D5	35057	12/04/2021 17:20
peptide_17015	2	D6	35296	12/04/2021 17:22
peptide_11412	2	D7	35071	12/04/2021 17:24
peptide_46533	2	D8	36630	12/04/2021 17:26
peptide_25747	2	D9	36725	12/04/2021 17:28
peptide_78047	2	D10	36387	12/04/2021 17:30
peptide_60703	2	D11	35591	12/04/2021 17:32
peptide_18496	2	D12	34881	12/04/2021 17:34
NOPEP	2	E1	35322	12/04/2021 17:36
peptide_76275	2	E2	34556	12/04/2021 17:38
peptide_89530	2	E3	34962	12/04/2021 17:40
peptide_55874	2	E4	34027	12/04/2021 17:42
peptide_87000	2	E5	34330	12/04/2021 17:44
peptide_21102	2	E6	34563	12/04/2021 17:46
peptide_57600	2	E7	35251	12/04/2021 17:48
peptide_77194	2	E8	35613	12/04/2021 17:50
peptide_20885	2	E9	36170	12/04/2021 17:52
peptide_33131	2	E10	36502	12/04/2021 17:54
peptide_17443	2	E11	34817	12/04/2021 17:56
peptide_59746	2	E12	39227	12/04/2021 17:58
peptide_20700	2	F1	34660	12/04/2021 18:00
peptide_86343	2	F2	36535	12/04/2021 18:02
peptide_13742	2	F3	35710	12/04/2021 18:04
peptide_89718	2	F4	36495	12/04/2021 18:06
peptide_19740	2	F5	34485	12/04/2021 18:08
peptide_79249	2	F6	35215	12/04/2021 18:10
peptide_28402	2	F7	36142	12/04/2021 18:12
peptide_62067	2	F8	36096	12/04/2021 18:14
peptide_51951	2	F9	35489	12/04/2021 18:16
peptide_44955	2	F10	37761	12/04/2021 18:18
peptide_27527	2	F11	34369	12/04/2021 18:20
peptide_00000	2	F12	53002	12/04/2021 18:22
NOPEP	2	G1	35983	12/04/2021 18:24
peptide_52763	2	G2	34974	12/04/2021 18:26
peptide_14653	2	G3	35574	12/04/2021 18:28
peptide_74084	2	G4	34451	12/04/2021 18:30
peptide_79422	2	G5	37007	12/04/2021 18:32
peptide_41701	2	G6	34498	12/04/2021 18:34
peptide_00000	2	G7	48977	12/04/2021 18:36
peptide_43406	2	G8	33854	12/04/2021 18:38
peptide_65023	2	G9	35833	12/04/2021 18:40
peptide_67030	2	G10	35886	12/04/2021 18:42
peptide_84710	2	G11	35586	12/04/2021 18:44
peptide_30761	2	G12	34336	12/04/2021 18:46
peptide_39851	2	H1	34838	12/04/2021 18:48
peptide_49993	2	H2	33988	12/04/2021 18:50
peptide_49252	2	H3	35926	12/04/2021 18:52
peptide_63682	2	H4	42298	12/04/2021 18:54
peptide_74498	2	H5	33563	12/04/2021 18:56
peptide_32716	2	H6	35324	12/04/2021 18:58
peptide_29372	2	H7	38155	12/04/2021 19:00
peptide_34296	2	H8	34812	12/04/2021 19:02
peptide_23471	2	H9	38451	12/04/2021 19:04
peptide_88060	2	H10	35305	12/04/2021 19:06
peptide_19874	2	H11	35487	12/04/2021 19:08
peptide_70059	2	H12	33183	12/04/2021 19:10
