name	Plate.ID	Well	MFI	Runtime
NOPEP	2	A1	38406	12/10/2021 12:00
peptide_87457	2	A2	38680	12/10/2021 12:02
peptide_55045	2	A3	37397	12/10/2021 12:04
peptide_62045	2	A4	54213	12/10/2021 12:06
peptide_44445	2	A5	37477	12/10/2021 12:08
peptide_36356	2	A6	50232	12/10/2021 12:10
peptide_31314	2	A7	39851	12/10/2021 12:12
peptide_36376	2	A8	37870	12/10/2021 12:14
peptide_77831	2	A9	39020	12/10/2021 12:16
peptide_48805	2	A10	38245	12/10/2021 12:18
peptide_32616	2	A11	37591	12/10/2021 12:20
peptide_34123	2	A12	43516	12/10/2021 12:22
peptide_12167	2	B1	40370	12/10/2021 12:24
peptide_46270	2	B2	38772	12/10/2021 12:26
peptide_00000	2	B3	64997	12/10/2021 12:28
peptide_85123	2	B4	37842	12/10/2021 12:30
peptide_37117	2	B5	40204	12/10/2021 12:32
peptide_87892	2	B6	37869	12/10/2021 12:34
peptide_46400	2	B7	38269	12/10/2021 12:36
peptide_89449	2	B8	38698	12/10/2021 12:38
peptide_26686	2	B9	39513	12/10/2021 12:40
peptide_49132	2	B10	38549	12/10/2021 12:42
peptide_72788	2	B11	48543	12/10/2021 12:44
peptide_58391	2	B12	39372	12/10/2021 12:46
NOPEP	2	C1	38497	12/10/2021 12:48
peptide_34427	2	C2	42101	12/10/2021 12:50
peptide_66180	2	C3	42754	12/10/2021 12:52
peptide_55516	2	C4	38107	12/10/2021 12:54
peptide_53356	2	C5	37641	12/10/2021 12:56
peptide_68127	2	C6	40161	12/10/2021 12:58
peptide_54373	2	C7	40342	12/10/2021 13:00
peptide_21723	2	C8	38737	12/10/2021 13:02
peptide_85993	2	C9	37011	12/10/2021 13:04
peptide_71581	2	C10	41832	12/10/2021 13:06
peptide_69921	2	C11	42289	12/10/2021 13:08
peptide_57674	2	C12	40850	12/10/2021 13:10
peptide_00000	2	D1	64129	12/10/2021 13:12
peptide_22817	2	D2	41715	12/10/2021 13:14
peptide_27679	2	D3	40069	12/10/2021 13:16
peptide_47967	2	D4	39314	12/10/2021 13:18
peptide_45724	2	D5	39103	12/10/2021 13:20
peptide_17015	2	D6	39953	12/10/2021 13:22
peptide_11412	2	D7	40251	12/10/2021 13:24
peptide_46533	2	D8	40934	12/10/2021 13:26
peptide_25747	2	D9	40107	12/10/2021 13:28
peptide_78047	2	D10	39227	12/10/2021 13:30
peptide_60703	2	D11	42826	12/10/2021 13:32
peptide_18496	2	D12	40898	12/10/2021 13:34
NOPEP	2	E1	40550	12/10/2021 13:36
peptide_76275	2	E2	39934	12/10/2021 13:38
peptide_89530	2	E3	39325	12/10/2021 13:40
peptide_55874	2	E4	38363	12/10/2021 13:42
peptide_87000	2	E5	37512	12/10/2021 13:44
peptide_21102	2	E6	40807	12/10/2021 13:46
peptide_57600	2	E7	36445	12/10/2021 13:48
peptide_77194	2	E8	40577	12/10/2021 13:50
peptide_20885	2	E9	39362	12/10/2021 13:52
peptide_33131	2	E10	42282	12/10/2021 13:54
peptide_17443	2	E11	38045	12/10/2021 13:56
peptide_59746	2	E12	42295	12/10/2021 13:58
peptide_20700	2	F1	38772	12/10/2021 14:00
peptide_86343	2	F2	40367	12/10/2021 14:02
peptide_13742	2	F3	38868	12/10/2021 14:04
peptide_89718	2	F4	40246	12/10/2021 14:06
peptide_19740	2	F5	40748	12/10/2021 14:08
peptide_79249	2	F6	40044	12/10/2021 14:10
peptide_28402	2	F7	40518	12/10/2021 14:12
peptide_62067	2	F8	40216	12/10/2021 14:14
peptide_51951	2	F9	39035	12/10/2021 14:16
peptide_44955	2	F10	41204	12/10/2021 14:18
peptide_27527	2	F11	38958	12/10/2021 14:20
peptide_00000	2	F12	61288	12/10/2021 14:22
NOPEP	2	G1	40579	12/10/2021 14:24
peptide_52763	2	G2	41049	12/10/2021 14:26
peptide_14653	2	G3	40544	12/10/2021 14:28
peptide_74084	2	G4	40039	12/10/2021 14:30
peptide_79422	2	G5	40439	12/10/2021 14:32
peptide_41701	2	G6	41365	12/10/2021 14:34
peptide_00000	2	G7	67200	12/10/2021 14:36
peptide_43406	2	G8	39867	12/10/2021 14:38
peptide_65023	2	G9	40562	12/10/2021 14:40
peptide_67030	2	G10	40339	12/10/2021 14:42
peptide_84710	2	G11	39495	12/10/2021 14:44
peptide_30761	2	G12	38504	12/10/2021 14:46
peptide_39851	2	H1	39625	12/10/2021 14:48
peptide_49993	2	H2	41384	12/10/2021 14:50
peptide_49252	2	H3	41943	12/10/2021 14:52
peptide_63682	2	H4	51573	12/10/2021 14:54
peptide_74498	2	H5	40488	12/10/2021 14:56
peptide_32716	2	H6	38689	12/10/2021 14:58
peptide_29372	2	H7	44984	12/10/2021 15:00
peptide_34296	2	H8	39439	12/10/2021 15:02
peptide_23471	2	H9	45252	12/10/2021 15:04
peptide_88060	2	H10	39125	12/10/2021 15:06
peptide_19874	2	H11	37790	12/10/2021 15:08
peptide_70059	2	H12	38200	12/10/2021 15:10
