name	Plate.ID	Well	MFI	Runtime
NOPEP	3	A1	45583	12/12/2021 02:00
peptide_42192	3	A2	46491	12/12/2021 02:02
peptide_28330	3	A3	46109	12/12/2021 02:04
peptide_66776	3	A4	45824	12/12/2021 02:06
peptide_58589	3	A5	44036	12/12/2021 02:08
peptide_46266	3	A6	45794	12/12/2021 02:10
peptide_56506	3	A7	43094	12/12/2021 02:12
peptide_00000	3	A8	62237	12/12/2021 02:14
peptide_20259	3	A9	44185	12/12/2021 02:16
peptide_41769	3	A10	45065	12/12/2021 02:18
peptide_62400	3	A11	45264	12/12/2021 02:20
peptide_32611	3	A12	43866	12/12/2021 02:22
peptide_34424	3	B1	44354	12/12/2021 02:24
peptide_30521	3	B2	44390	12/12/2021 02:26
peptide_38955	3	B3	46736	12/12/2021 02:28
peptide_47769	3	B4	45483	12/12/2021 02:30
peptide_65167	3	B5	45030	12/12/2021 02:32
peptide_55214	3	B6	45224	12/12/2021 02:34
peptide_17160	3	B7	45388	12/12/2021 02:36
NOPEP	3	B8	42980	12/12/2021 02:38
peptide_85123	3	B9	44193	12/12/2021 02:40
peptide_00000	3	B10	61505	12/12/2021 02:42
NOPEP	3	B11	43652	12/12/2021 02:44
NOPEP	3	B12	43695	12/12/2021 02:46
